rule_id	line_range	title	category	recommended_home	used_by_entry_skill	path_phase_tag	applies_to	status	one_line_summary	at_risk_if_removed	supersedes_or_superseded_by	notes
Rule_12	384-425	## Rule 12: Fortran Bridge as Ground Truth During Native Port [COMPLETE]	VALIDATION_POLICY	skill_validation_retreat	multiple	path_a;path_b;phase_4;lane_tag_frontier	any_scheme	active	Treat the Fortran bridge path as oracle while incrementally validating the native C++ implementation.	true	NA	Foundational parity policy for staged conversion.
Rule_13	426-469	## Rule 13: 2D Surface Accumulation — box2d Slab Pattern [COMPLETE]	ACCUMULATED_DEBUGGING_MEMORY	skill_native_cpp_port	skill2_native_cpp	path_a;path_b;phase_4	ERF_AMReX	active	Allocate and index 2D surface accumulators on the correct slab/box shape to avoid hidden memory and parity failures.	true	NA	Earned gotcha from real regression history; high-risk if forgotten.
Rule_14	470-931	## Rule 14: Init() Signature — Required Members [COMPLETE]	CODEBASE_CONVENTION	skill_port_fortran_bridge	skill1_bridge	path_a;path_b;phase_1;phase_2	ERF_AMReX	active	Define the required Init() interface members and data dependencies before any kernel parity work.	true	NA	Large section; may merit sub-rule decomposition in future audits.
Rule_21	932-988	## Rule 21: Exact Algorithm Porting for Init-Time Special Functions [WSM6 + Morrison - validation critical]	ACCUMULATED_DEBUGGING_MEMORY	skill_native_cpp_port	skill2_native_cpp	path_b;phase_2;phase_4	WSM6;Morrison	active	Port init-time special-function math exactly rather than approximately to prevent early deterministic drift.	true	NA	Validation-critical and likely reusable to similar schemes using lookup/special math.
Rule_21_Addendum_ExactHelperSemantics	989-1010	### Rule 21 Addendum: Exact Special-Function Semantics Apply Beyond Init	ACCUMULATED_DEBUGGING_MEMORY	rulebook	skill2_native_cpp	path_b;phase_4;phase_5	any_bulk_microphysics	active	Extends exact-helper parity policy into runtime local helper paths and records non-causal parity cleanups separately.	true	Rule_21	WSM6 qrain closure evidence: local 1/std::tgamma shortcut was non-parity-safe for NISLFV_R path; closure required Fortran-style rgmma loop and pidn0r parity; kb/kt backstep cleanup tracked separately as non-causal for scoped failure.
Rule_22	989-1085	## Rule 22: Name New Enum Entries by Convention Survey Before Writing [process rule]	GENERIC_METHOD_RULE	skill_native_cpp_port	skill2_native_cpp	path_b;phase_2	any_scheme	active	Survey existing naming conventions first, then add enum entries that preserve local codebase semantic patterns.	true	NA	Process rule with style-plus-correctness impact.
Rule_23	1086-1125	## Rule 23: Dead and Simplified Fortran Constructs — Omit or Inline in C++ Port	GENERIC_METHOD_RULE	skill_native_cpp_port	skill2_native_cpp	path_b;phase_2;phase_4	any_scheme	active	Identify dead/simplifiable Fortran constructs and translate intent, not unnecessary legacy structure, into C++.	true	NA	Boundary/stopping-point rule for this audit pass.
Rule_24	1126-1162	## Rule 24: nislfv Semi-Lagrangian Column Kernels	GENERIC_MICROPHYSICS_CONCEPT	rulebook	skill2_native_cpp	path_b;phase_4	any_bulk_microphysics	active	Column-serial sedimentation kernel pattern for falling-species routines — generic across bulk schemes; WSM6 nislfv is the demonstrated instance.	true	NA	Column-serial sedimentation kernel pattern applies to any falling-species routine in any bulk scheme; nislfv name and WSM6-specific call sites belong in wsm6_implementation_notes; Morrison/Thompson/NSSL have equivalent constructs
Rule_24_Addendum_NISLFVBoundary	1163-1184	### Rule 24 Addendum: Sedimentation Kernel Boundary Proof	ACCUMULATED_DEBUGGING_MEMORY	rulebook	skill3_validation	path_a;path_b;phase_4;phase_5;lane_tag_frontier;lane_plotfile_parity	any_bulk_microphysics	active	Requires Tier1.5 boundary bracketing of working temporaries in column sedimentation kernels before patching remap/search/update logic.	true	Rule_24	High-loss debugging memory plus generic sedimentation concept: bracket denqrs1 and downstream writeback boundaries first, then patch only after first divergent temporary is proven.
Rule_25	1163-1225	## Rule 25: Phase Structure for Large Routine Ports	GENERIC_METHOD_RULE	rulebook	multiple	path_a;path_b;phase_1;phase_2;phase_3;phase_4;phase_5	any_scheme	active	Mandates a staged five-phase workflow for large routine ports so implementation and validation remain tractable.	true	NA	Core workflow backbone beyond WSM6.
Rule_26	1226-1246	## Rule 26: Context Budget Awareness for Large Ports	ENTRYPOINT_INSTRUCTION	rulebook	multiple	any_phase	any_scheme	needs_review	Constrains per-pass implementation scope to one process group to fit practical review and debugging context budgets.	true	NA	Method is reusable but exact line-count rationale can age with tooling changes.
Rule_27	1247-1357	## Rule 27: Complete Ordered Process Inventory for mp_wsm6_run	SCHEME_SPECIFIC_FACT	wsm6_implementation_notes	multiple	path_a;path_b;phase_2;phase_4;lane_tag_frontier	WSM6	active	Provides the canonical WSM6 execution group ordering and dependencies that govern incremental implementation and retreat.	true	NA	27-group ordering and WSM6 tag names are scheme-specific; inventory concept is generic and covered by Rule_25; qc/qr/qi/qs/qg are COMMON_MICROPHYSICS_CONVENTION (concept generic, names conventional); praut/pracw/prevp are WSM6 names for generic autoconversion/accretion/evaporation physics
Rule_28	1358-1415	## Rule 28: FAB Allocation Strategy for WSM6Ind Working Arrays	SCHEME_SPECIFIC_FACT	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_4	WSM6	active	Specifies WSM6 working-array allocation layout across fab_box, box2d, and column-local stack arrays.	true	NA	WSM6Ind struct and specific slab layout are scheme-specific; FAB/box2d allocation pattern is generic CODEBASE_CONVENTION covered by Rule_13; future schemes will have different working-array layouts but same AMReX allocation pattern
Rule_29	1416-1450	## Rule 29: The loops/dtcld Minor Timestep Outer Loop	GENERIC_MICROPHYSICS_CONCEPT	rulebook	skill2_native_cpp	path_b;phase_4	any_bulk_microphysics	active	Minor-timestep subdivision wrapping the full process group sequence — generic across bulk schemes; WSM6 dtcld is the demonstrated instance.	true	NA	Minor-timestep subdivision is generic — Morrison, Thompson, NSSL all have equivalent outer loop constructs; dtcld is COMMON_MICROPHYSICS_CONVENTION name for sub-step dt; WSM6-specific loop count and dtcld variable details belong in wsm6_implementation_notes
Rule_30	1451-1512	## Rule 30: Phase 3 Diagnostic Instrumentation Protocol	VALIDATION_POLICY	rulebook	skill3_validation	path_a;path_b;phase_3;phase_4;lane_tag_frontier	any_scheme	active	Defines canonical per-group diagnostic tags and gated target-column prints to create a Fortran-versus-C++ retreat oracle.	true	NA	Instrumentation protocol is generic and should stay in rulebook; embedded WSM6 tag names (DENFAC/NISLFV_R/QSAT etc.) are SCHEME_SPECIFIC_FACT — migrate tag table to wsm6_implementation_notes and add pointer from Rule_30; qc/qr/qi printed variables are COMMON_MICROPHYSICS_CONVENTION
Rule_30A	1534-1704	## Rule 30 Addendum: Runtime High-Precision Diagnostic Instrumentation	VALIDATION_POLICY	rulebook	skill3_validation	path_a;path_b;phase_3;phase_4;lane_tag_frontier	any_scheme	extended	Upgrades diagnostics to runtime-controlled high-precision output with synchronized Path A/Path B print contracts.	true	Rule_30	E24.16 print contract and L1/L2 tier semantics are generic; WSM6-specific field ordering belongs in wsm6_implementation_notes print contract table; at_risk_if_removed: losing exact format breaks tag stream comparability silently
Rule_30B	1705-1748	## Rule 30B: Tier2 Line-Trace Invocation and Contract Overlay [NEW]	VALIDATION_POLICY	rulebook	skill3_validation	path_a;path_b;phase_3;phase_4;lane_tag_frontier	any_scheme	active	Defines when Tier2 must be used for line-level retreat and codifies the character-diffable line-trace interpretation contract.	true	Rule_30A	Append-only overlay: preserves existing Rule 30/30A crosslinks while adding explicit Tier2 invocation criteria, orthogonal FP axes, and ULP-based precision rationale.
Rule_30D	1764-1818	## Rule 30D: Tier1.5 Block-Signature Diagnostics	VALIDATION_POLICY	rulebook	skill3_validation	path_a;path_b;phase_3;phase_4;lane_tag_frontier	any_scheme	active	Defines Tier1.5 block-signature diagnostics between compact Tier1 canonical tags and line-level Tier2 traces.	true	Rule_30B	Use scoped BLOCK_SIGNATURE probes to classify input-state vs expression/update vs storage/writeback vs diagnostic-source before escalating to Tier2 first-line attribution.
Rule_31	1749-1767	## Rule 31: Runtime Fortran/C++ toggle — Morrison pattern	GENERIC_METHOD_RULE	skill_port_fortran_bridge	multiple	path_a;path_b;phase_1;phase_4	ERF_AMReX	active	Requires a runtime implementation-path toggle via ParmParse instead of brittle build-time switching.	true	NA	Named from Morrison but pattern is reusable across schemes.
Rule_32	1768-1808	## Rule 32: C++ validation pipeline — debug-first, backtrace-before-prints	VALIDATION_POLICY	skill_validation_retreat	skill3_validation	path_a;path_b;phase_4;lane_tag_frontier	ERF_AMReX	active	Sets the validation order to stabilize crashes first with debug/backtrace before using prints for parity analysis.	true	NA	Complements but does not replace line-by-line evidence requirements in retreat rules.
Rule_32A	1809-2022	## Rule 32 Addendum: Hardened Phase 4 Validation Workflow (Stop, Diff, Retreat)	ACCUMULATED_DEBUGGING_MEMORY	rulebook	skill3_validation	path_a;path_b;phase_4;phase_5;lane_tag_frontier	any_bulk_microphysics	extended	Formalizes the stop-diff-retreat workflow, stepwise validation tiers, and gating required before forward implementation resumes.	true	Rule_32	Stop-diff-retreat formalization is generic and earned — applicable to any scheme port; WSM6-specific epsilon thresholds and dry-case benchmark behavior are SCHEME_SPECIFIC_FACT — migrate to wsm6_implementation_notes; at_risk_if_removed: codifies the transition from naive forward implementation to gated validation
Rule_33	2023-2049	## Rule 33: Pre-compile reflexive alignment pass — group-by-group	GENERIC_METHOD_RULE	rulebook	skill2_native_cpp	path_b;phase_4	any_scheme	active	Requires a pre-compile side-by-side scan for dropped boundary statements and off-by-one loop-bound translation errors.	true	NA	Boundary statement and loop-bound alignment failures recur on any Fortran→C++ port; not WSM6-specific; should be generic rulebook content
Rule_34	2050-2078	## Rule 34: Fortran control flow restructuring hazards	ACCUMULATED_DEBUGGING_MEMORY	rulebook	skill2_native_cpp	path_b;phase_4	any_scheme	active	Catalogs high-risk Fortran control-flow idioms that must be explicitly restructured rather than transliterated.	true	NA	Fortran control-flow hazards recur on any scheme port; not WSM6-specific; at_risk_if_removed: each hazard will be rediscovered independently on Morrison/NSSL/Thompson ports
Rule_35	2079-2180	## Rule 35: Plotfile Parity Lane — Campaign Structure	VALIDATION_POLICY	rulebook	skill3_validation	path_a;path_b;phase_5;lane_plotfile_parity	any_scheme	active	Defines ordered milestone-based plotfile parity campaigns, serial-first scope, and first-fail narrowing before retreat.	true	NA	Campaign structure and milestone ordering are generic; specific step numbers (100/200/.../9000) and onset step 254 are TESTCASE_SPECIFIC_BEHAVIOR for SquallLine_2D; milestone step table belongs in wsm6_implementation_notes; a Morrison port on a different test case would have different milestone steps
Rule_36	2181-2217	## Rule 36: Restart Reproducibility Check	VALIDATION_POLICY	rulebook	skill3_validation	path_a;path_b;phase_5;lane_plotfile_parity	any_scheme	active	Requires one-step shared-source restart reproduction at first-fail step to separate physics divergence from restart-state issues.	true	NA	Fully generic — shared Fortran checkpoint as restart source for both paths applies to any scheme port on any test case; no WSM6-specific content
Rule_37	2218-2246	## Rule 37: Plotfile Divergence to Tag Retreat Linkage	VALIDATION_POLICY	rulebook	skill3_validation	phase_5;lane_plotfile_parity;lane_tag_frontier	any_scheme	active	Maps first-fail plotfile metadata back into canonical tag retreat with escalating debug levels and value-level evidence.	true	NA	Linkage protocol is generic; var→tag mapping (qrain→NISLFV_R/DENFAC) is SCHEME_SPECIFIC_FACT — belongs in wsm6_implementation_notes var-to-tag table; qrain/qsnow are COMMON_MICROPHYSICS_CONVENTION (rain/snow mixing ratio concept is generic, names are conventional); onset_step_254 is TESTCASE_SPECIFIC_BEHAVIOR
Rule_38	2247-2276	## Rule 38: Plotfile Campaign TSV Schema Extension	VALIDATION_POLICY	rulebook	skill3_validation	phase_5;lane_plotfile_parity;lane_tag_frontier	any_scheme	active	Defines structured run-ledger schema fields and fail-artifact requirements for plotfile parity campaigns.	true	NA	TSV schema is generic validation infrastructure; WSM6 variable names in examples are illustrative only — not scheme-specific requirements; schema should be reused unchanged for Morrison port
ImplNote_Rule5_StructuralDiff	2-6	## Rule 5: WSM6-Specific Structural Differences [PARTIAL]	SCHEME_SPECIFIC_FACT	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2	WSM6	active	Captures WSM6-specific structural deltas relative to the Morrison baseline before native-port implementation.	true	NA	WSM6-only structural checklist; retain here.
ImplNote_5a_2DIndexing	7-14	### 5a: 2D array indexing (its:ite, kts:kte)	CODEBASE_CONVENTION	rulebook	skill2_native_cpp	path_b;phase_2;phase_4	ERF_AMReX	active	Maps Fortran multi-column indexing semantics onto standard AMReX ParallelFor box traversal.	false	Rule_24	Generic AMReX mapping pattern; migration candidate to rulebook.
ImplNote_5b_OptionalArgs	15-21	### 5b: Optional arguments	CODEBASE_CONVENTION	rulebook	skill1_bridge	path_a;phase_1	ERF_AMReX	needs_review	Tracks unresolved policy for handling optional Fortran arguments in ERF bridge/native interfaces.	true	NA	General Fortran-interop convention question, not WSM6-only.
ImplNote_5c_ErrmsgErrflg	22-25	### 5c: errmsg/errflg	CODEBASE_CONVENTION	rulebook	skill1_bridge	path_a;phase_1	ERF_AMReX	needs_review	Flags unresolved translation of Fortran errmsg/errflg signaling into ERF-side error handling conventions.	true	NA	Cross-scheme convention item; migration candidate to rulebook.
ImplNote_5d_VrecVsqrt	26-33	### 5d: vrec/vsqrt from module_libmassv	CODEBASE_CONVENTION	rulebook	skill2_native_cpp	path_b;phase_2;phase_4	ERF_AMReX	active	Documents substitution of Fortran vector math helpers with GPU-safe C++ math calls in AMReX kernels.	true	Rule_4	Reusable GPU-port convention beyond WSM6.
ImplNote_MicVarWSM6_EnumDraft	34-62	## MicVar_WSM6 Enum Draft [PARTIAL]	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2	any_bulk_microphysics	needs_review	Defines the microphysics state-name layer using widely shared bulk-scheme variable naming conventions.	true	NA	Name-layer heavy content; concept is generic while exact symbol set is scheme-tuned.
ImplNote_WSM6Ind_EnumDraft	63-92	## WSM6Ind Enum Draft [PARTIAL]	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2	any_bulk_microphysics	needs_review	Drafts working-index names that blend common process-variable conventions with scheme-local bookkeeping.	true	ImplNote_WSM6Ind_EnumUpdated	Draft state later superseded by updated enum list.
ImplNote_PendingBeforeComplete	93-105	## Pending Before WSM6 Implementation is Complete	ENTRYPOINT_INSTRUCTION	wsm6_implementation_notes	multiple	path_a;path_b;phase_2	WSM6	needs_review	Tracks outstanding dependency and convention checks required before declaring WSM6 port completeness.	true	NA	Operational checklist for this scheme-specific port.
ImplNote_FilesToCreate	106-116	## Files to Create for WSM6	ENTRYPOINT_INSTRUCTION	wsm6_implementation_notes	skill1_bridge	path_a;path_b;phase_1	WSM6	active	Lists required source files and structural bootstrapping pattern for the WSM6 ERF module.	false	NA	Scheme-specific file scaffolding.
ImplNote_Rule6_SpeciesIndexedArrays	117-140	## Rule 6: 3D Species-Indexed Arrays → Expanded Enum Entries [NEW - WSM6]	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2;phase_4	any_bulk_microphysics	active	Explains the naming-layer split of species-indexed arrays into explicit rain/snow/graupel component fields.	true	Rule_1	Concept transfers broadly; exact field inventory remains scheme-specific.
ImplNote_Rule7_1DArrays	141-158	## Rule 7: 1D (its:ite) Arrays → Kernel-Local Scalars [NEW - WSM6]	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2;phase_4	any_bulk_microphysics	active	Maps single-column sedimentation helper arrays to per-thread local scalars while preserving process-name semantics.	true	Rule_24	Name-layer/process-layer crossover; reusable to other bulk schemes.
ImplNote_Rule8_IntLogicalArrays	159-171	## Rule 8: Integer and Logical Arrays → Kernel-Local int/bool [NEW - WSM6]	CODEBASE_CONVENTION	rulebook	skill2_native_cpp	path_b;phase_2;phase_4	ERF_AMReX	active	Keeps integer/logical loop-control state as kernel-local primitive types instead of FAB-backed reals.	true	Rule_23	Generic GPU-port convention; migration candidate to rulebook.
ImplNote_WSM6Ind_EnumUpdated	172-250	## WSM6Ind Enum — Updated [PARTIAL → MORE COMPLETE]	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2;phase_4	any_bulk_microphysics	extended	Expanded enum catalog captures the microphysics process-name layer used by bulk-scheme implementations.	true	ImplNote_WSM6Ind_EnumDraft	Dominated by naming conventions with WSM6-specific completeness details.
ImplNote_Rule9_ModuleSave_New	251-269	## Rule 9: Module save Variables → Class Member Init [NEW - WSM6]	GENERIC_METHOD_RULE	rulebook	skill2_native_cpp	path_b;phase_2	any_scheme	superseded	Initial hypothesis for translating Fortran save-variable initialization into C++ class-member initialization lifecycle.	false	ImplNote_Rule9_ModuleSave_Complete	Superseded by complete section below.
ImplNote_Rule9_ModuleSave_Complete	270-292	## Rule 9: Module save Variables → Class Member Init [COMPLETE]	GENERIC_METHOD_RULE	rulebook	skill2_native_cpp	path_b;phase_2;phase_4	any_scheme	active	Finalizes the method for resolving save-variable init inputs and one-time initialization capture into kernels.	true	ImplNote_Rule9_ModuleSave_New	Generic save-variable lifecycle rule; migration candidate to rulebook.
ImplNote_Rule10_RuntimeVariantFlag	293-314	## Rule 10: Runtime Physics Variant Flag → SolverChoice [NEW - WSM6]	SCHEME_SPECIFIC_FACT	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2	WSM6	active	Documents WSM6 hail-versus-graupel runtime branch and the exact save-variable set controlled by hail_opt.	true	Rule_10	WSM6-specific branch semantics and constants.
ImplNote_ERFWSM6H_ClassMembers	315-372	## ERF_WSM6.H Class Member List [PARTIAL → NEAR COMPLETE]	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill2_native_cpp	path_b;phase_2	any_bulk_microphysics	active	Enumerates member and coefficient names that realize common bulk-microphysics process conventions in ERF_WSM6.	true	NA	Name-layer reference table; exact member set remains WSM6-tailored.
ImplNote_AppendixA_PlotfileParity	373-377	## Appendix A: Plotfile Parity Campaign — WSM6 SquallLine_2D	TESTCASE_SPECIFIC_BEHAVIOR	wsm6_implementation_notes	skill3_validation	path_a;path_b;phase_5;lane_plotfile_parity	SquallLine_2D	active	Introduces WSM6 SquallLine_2D implementation appendix for executing the generic plotfile parity lane.	true	Rule_35	Appendix anchors case-specific execution details for Rules 35-38.
ImplNote_AppendixA_ScopeGate	378-387	### Scope gate	VALIDATION_POLICY	validation_operator	skill3_validation	phase_5;lane_plotfile_parity	any_scheme	active	States serial-first campaign scope and defers MPI/GPU parity lanes until serial acceptance is complete.	true	Rule_35	Generic scope gate; migration candidate to validation_operator.
ImplNote_AppendixA_FcompareBinary	388-395	### Fcompare binary	CODEBASE_CONVENTION	validation_operator	skill3_validation	phase_5;lane_plotfile_parity	ERF_AMReX	active	Pins the repository-relative location of fcompare used by parity workflows in this codebase.	false	Rule_35	Operational path convention for this repo layout.
ImplNote_AppendixA_ExecutablePolicy	396-430	### Executable and run policy	TESTCASE_SPECIFIC_BEHAVIOR	wsm6_implementation_notes	skill3_validation	path_a;path_b;phase_5;lane_plotfile_parity	SquallLine_2D	active	Defines campaign executable/build policies, run location, and build-token recording for the WSM6 SquallLine_2D lane.	true	Rule_35	Contains case-run specifics plus policy tokens.
ImplNote_AppendixA_DtConvention	431-435	### dt convention	TESTCASE_SPECIFIC_BEHAVIOR	wsm6_implementation_notes	skill3_validation	phase_5;lane_plotfile_parity	SquallLine_2D	active	Sets fixed_dt campaign convention for reproducible milestone-time alignment in this validation case.	true	Rule_35	Time-grid choice is case-specific.
ImplNote_AppendixA_MilestoneTable	436-452	### Milestone table (WSM6 SquallLine_2D)	TESTCASE_SPECIFIC_BEHAVIOR	wsm6_implementation_notes	skill3_validation	phase_5;lane_plotfile_parity	SquallLine_2D	active	Defines SquallLine_2D milestone step/time mapping and active-species regimes used by plotfile parity triage.	true	Rule_35	Core testcase-specific regime map.
ImplNote_AppendixA_RunStructure	453-459	### Run structure	TESTCASE_SPECIFIC_BEHAVIOR	wsm6_implementation_notes	skill3_validation	phase_5;lane_plotfile_parity	SquallLine_2D	active	Splits campaign into short and long run pairs with cadence choices tuned to this testcase milestones.	true	Rule_35	Case-run decomposition details.
ImplNote_AppendixA_CommandTemplates	460-515	### Command templates	TESTCASE_SPECIFIC_BEHAVIOR	wsm6_implementation_notes	skill3_validation	path_a;path_b;phase_5;lane_plotfile_parity	SquallLine_2D	active	Provides concrete command templates for Fortran and C++ short/long campaign runs in this testcase.	true	Rule_35	Execution templates are testcase/path specific.
ImplNote_AppendixA_FcompareWorkflow	516-533	### Per-milestone fcompare workflow	VALIDATION_POLICY	validation_operator	skill3_validation	phase_5;lane_plotfile_parity	any_scheme	active	Defines first-fail fcompare usage including -z and -d evidence capture plus diff artifact archival.	true	Rule_35	Generic parity workflow; migrate to validation_operator with appendix pointer.
ImplNote_AppendixA_ArchiveDiffOutput	534-539	# Archive default diff output immediately	VALIDATION_POLICY	validation_operator	skill3_validation	phase_5;lane_plotfile_parity	any_scheme	active	Requires immediate rename/archive of default diff output to preserve first-fail provenance.	true	Rule_35	Generic artifact-discipline rule.
ImplNote_AppendixA_RestartRepro	540-558	### Restart reproducibility (Rule 36)	VALIDATION_POLICY	validation_operator	skill3_validation	phase_5;lane_plotfile_parity	any_scheme	active	Applies shared-source one-step restart reproducibility protocol before classifying divergence for retreat.	true	Rule_36	Generic restart check protocol; should align with Rule_36 wording.
ImplNote_AppendixA_BoundedRefinement	559-587	### Bounded per-step refinement (coarse milestone failure)	VALIDATION_POLICY	validation_operator	skill3_validation	phase_5;lane_plotfile_parity	any_scheme	active	Defines bounded per-step restart refinement to narrow coarse-cadence failures to earliest failing substep N*.	true	Rule_35	Generic first-fail narrowing workflow; migrate to validation_operator core procedure.
ImplNote_AppendixA_SoftBaselines	588-598	### Soft reference baselines (early dry regime)	TESTCASE_SPECIFIC_BEHAVIOR	regression_cases	skill3_validation	phase_5;lane_plotfile_parity	SquallLine_2D	active	Records early dry-regime epsilon reference magnitudes from a specific WSM6 terminal run for local comparison context.	true	NA	Numeric references are run- and testcase-specific; candidate to mirror in regression_cases.
ImplNote_AppendixA_VarTagMapping	599-617	### Variable-to-tag mapping (WSM6 manifest groups)	COMMON_MICROPHYSICS_CONVENTION	wsm6_implementation_notes	skill3_validation	phase_4;phase_5;lane_tag_frontier;lane_plotfile_parity	WSM6	active	Captures variable-name to canonical-tag mapping and retreat order, combining common name layer with WSM6 tag facts.	true	Rule_37	Name layer is common; actual mapping and order are WSM6-specific facts.
